N,P,K,temperature,humidity,ph,rainfall,label
185,70,242,23.47,58.24,6.12,133.51,tomato
100,35,209,17.31,65.76,6.42,93.58,spinach
179,72,220,34.91,43.55,5.49,57.68,chilli
144,67,190,23.73,61.43,5.5,82.97,tomato
137,64,181,22.11,70.47,6.44,101.46,spinach
164,49,236,32.49,71.03,6.31,135.03,ladyfinger
167,52,271,24.0,69.3,6.86,79.99,ladyfinger
171,82,238,35.46,54.34,6.26,78.31,chilli
178,70,228,32.43,49.2,6.02,92.51,chilli
120,43,242,27.69,66.25,6.81,83.51,spinach
151,50,196,21.78,61.39,6.56,64.83,spinach
125,69,204,31.17,67.02,6.51,97.84,ladyfinger
125,36,215,22.89,70.11,6.82,87.35,spinach
237,108,215,32.75,56.8,6.25,118.42,tomato
139,75,239,36.58,62.65,5.98,72.19,chilli
101,58,178,20.78,57.03,6.7,97.17,spinach
162,54,223,31.35,68.13,7.14,118.32,ladyfinger
167,75,230,40.0,65.16,7.1,108.65,ladyfinger
154,81,253,24.76,58.6,6.36,129.01,tomato
159,78,259,26.43,70.82,6.37,120.99,tomato
167,50,245,27.02,63.12,6.14,111.99,tomato
164,81,225,22.94,55.15,6.49,100.55,chilli
159,83,239,35.41,62.71,6.32,142.66,ladyfinger
188,63,218,29.66,66.09,5.58,94.05,ladyfinger
154,60,228,31.01,72.23,5.72,132.82,ladyfinger
146,71,215,32.68,69.2,6.49,99.89,ladyfinger
114,77,229,26.97,42.76,6.61,118.28,chilli
123,57,194,26.47,52.19,6.25,77.93,spinach
194,57,238,29.74,76.74,6.18,107.85,ladyfinger
144,81,276,22.92,66.56,6.53,143.85,tomato
144,68,243,31.49,75.08,5.99,123.43,ladyfinger
144,60,258,21.6,68.1,6.14,180.0,tomato
166,92,256,25.05,59.95,6.51,115.29,tomato
164,74,222,29.19,55.65,6.19,95.35,chilli
103,49,226,21.0,61.77,6.21,88.47,spinach
119,62,172,23.15,66.33,6.65,85.78,spinach
146,66,226,31.01,70.64,6.42,126.75,ladyfinger
163,65,304,29.66,52.51,6.64,125.02,tomato
172,80,247,31.66,51.39,5.89,145.91,tomato
150,65,280,32.03,51.73,5.58,52.39,chilli
87,53,242,22.06,66.85,6.12,67.67,spinach
99,40,183,21.86,66.95,6.43,87.04,spinach
142,77,259,28.53,45.25,5.84,118.4,tomato
161,79,243,33.76,56.63,6.55,93.83,ladyfinger
163,105,193,31.93,58.21,6.54,122.0,tomato
160,69,225,30.56,65.26,6.39,60.0,ladyfinger
178,84,279,29.58,58.47,6.12,132.75,tomato
149,71,261,24.41,48.05,5.5,138.02,tomato
118,66,182,21.9,79.17,6.31,116.25,spinach
155,63,232,28.37,50.96,5.39,108.53,chilli
147,61,175,34.84,76.57,6.4,76.39,ladyfinger
166,70,206,32.98,59.22,5.69,90.98,chilli
190,58,255,32.49,56.92,6.03,106.7,ladyfinger
149,81,279,25.8,54.17,5.53,121.84,chilli
128,46,189,24.17,62.02,7.02,72.01,spinach
175,69,230,33.61,62.38,6.06,111.36,ladyfinger
149,65,236,28.81,67.74,6.59,72.17,chilli
170,72,259,23.51,70.25,5.93,138.05,tomato
168,86,273,31.31,73.78,6.27,155.21,ladyfinger
167,67,249,28.61,71.58,6.45,115.1,ladyfinger
107,58,195,15.29,50.0,6.32,89.15,spinach
186,65,257,33.84,46.99,6.41,76.97,chilli
176,105,245,27.94,56.14,6.64,169.0,tomato
132,91,230,30.32,53.0,6.12,95.6,chilli
194,75,247,28.44,53.91,6.28,158.26,tomato
184,65,240,31.26,74.56,6.13,131.86,ladyfinger
146,72,228,31.68,56.9,5.52,71.23,chilli
148,78,230,21.42,72.8,6.48,133.33,tomato
178,61,236,33.22,55.94,6.63,77.94,ladyfinger
183,74,205,26.24,58.17,5.95,121.48,chilli
203,77,252,27.61,69.03,5.85,99.86,tomato
194,105,243,28.21,61.54,7.0,67.52,tomato
164,44,214,31.11,71.66,6.24,87.18,ladyfinger
140,61,236,30.95,77.22,6.49,129.97,ladyfinger
146,84,224,32.14,63.25,6.16,70.59,chilli
158,70,195,23.23,58.45,6.07,77.64,chilli
181,88,306,26.55,62.6,5.5,60.2,tomato
131,55,189,21.67,64.29,6.39,74.82,spinach
150,74,232,29.09,72.0,5.91,85.38,chilli
105,51,229,22.34,53.49,6.78,66.64,spinach
110,50,206,17.66,53.74,6.28,75.73,spinach
94,57,225,18.24,66.48,6.78,80.25,spinach
117,100,233,30.63,59.92,6.28,87.19,chilli
166,68,251,29.3,56.85,6.42,127.66,tomato
240,88,254,31.54,75.0,6.55,143.72,tomato
131,77,220,31.55,59.3,6.4,102.78,ladyfinger
168,39,183,34.46,65.63,6.0,137.96,ladyfinger
184,98,268,25.45,75.0,6.31,151.88,tomato
106,48,222,21.12,74.98,6.3,85.58,spinach
192,55,245,25.56,66.62,6.63,68.14,tomato
114,58,199,20.73,60.44,6.6,49.66,spinach
143,68,197,15.63,60.14,6.89,79.54,spinach
155,55,220,31.16,53.76,6.29,91.98,chilli
147,74,239,31.83,52.35,6.13,99.6,chilli
200,71,240,24.66,67.02,6.31,80.32,chilli
136,67,179,24.89,68.3,6.75,117.94,spinach
171,59,256,26.94,67.98,6.63,126.29,ladyfinger
119,34,198,18.09,70.36,6.61,61.2,spinach
94,30,205,27.4,74.91,6.56,70.17,spinach
99,52,185,21.44,65.45,6.66,78.59,spinach
151,84,225,26.45,70.6,6.53,123.95,tomato
129,59,230,33.52,61.94,6.09,121.23,ladyfinger
142,62,261,27.66,60.88,5.78,80.79,chilli
93,62,185,27.16,80.0,6.27,69.01,spinach
105,63,217,27.55,63.6,6.7,81.96,spinach
161,78,224,31.57,48.6,5.88,93.84,chilli
219,93,227,27.08,61.16,5.92,162.31,tomato
93,39,237,21.37,59.65,6.81,67.89,spinach
185,65,256,32.39,63.59,6.58,114.07,tomato
180,67,171,30.86,43.45,6.18,98.23,chilli
163,61,236,29.95,78.87,6.97,107.07,ladyfinger
138,61,175,33.2,64.85,6.84,118.58,ladyfinger
107,60,175,22.18,68.57,6.4,83.41,spinach
110,65,182,17.77,52.55,6.68,54.39,spinach
187,56,231,33.38,66.51,6.59,122.22,ladyfinger
97,61,216,19.59,72.16,6.31,85.06,spinach
173,55,218,25.74,67.65,5.96,111.74,ladyfinger
119,73,242,20.63,60.18,6.64,60.03,spinach
145,71,273,30.5,74.26,5.99,160.0,ladyfinger
158,83,214,25.99,59.9,6.23,91.43,chilli
160,76,255,32.37,61.28,5.83,112.34,ladyfinger
136,44,220,26.61,56.02,6.22,100.35,spinach
109,72,221,29.75,62.93,6.3,95.96,chilli
180,62,242,32.11,69.59,6.19,117.82,tomato
147,75,204,30.69,61.22,5.71,105.63,chilli
171,69,260,32.96,61.12,6.6,85.24,tomato
167,82,273,35.0,66.62,6.66,107.35,tomato
158,44,222,31.22,66.02,6.42,119.71,ladyfinger
156,100,270,26.34,68.01,6.0,100.45,tomato
176,78,251,28.23,56.54,6.71,90.76,tomato
147,63,185,27.43,56.59,6.13,92.97,chilli
114,57,188,25.77,57.84,6.44,71.21,spinach
225,98,254,21.09,57.11,7.0,114.23,tomato
171,66,240,26.34,67.02,6.13,95.5,ladyfinger
205,79,291,25.99,59.56,5.83,120.18,tomato
128,71,236,26.55,63.84,5.85,115.15,chilli
127,74,186,28.4,59.01,5.61,122.11,chilli
109,56,239,18.28,53.26,6.55,81.02,spinach
168,57,204,32.98,48.91,5.88,121.52,chilli
122,49,196,22.24,50.0,6.64,60.41,spinach
134,78,214,34.77,59.01,5.81,89.8,chilli
134,82,210,25.54,40.0,6.5,102.33,chilli
138,73,191,30.25,45.0,6.21,68.05,tomato
165,94,301,26.79,65.45,5.74,138.87,tomato
160,60,237,32.36,62.35,6.24,111.7,ladyfinger
137,72,223,25.19,40.48,6.12,92.71,chilli
132,53,209,20.19,65.69,6.45,103.36,spinach
149,82,251,34.48,79.81,6.61,130.42,ladyfinger
111,66,202,18.77,59.28,6.7,65.39,spinach
140,76,247,31.04,82.81,7.02,130.52,ladyfinger
184,73,238,28.12,65.29,5.9,95.55,chilli
165,52,254,30.81,55.0,6.66,85.43,ladyfinger
125,60,212,22.23,70.94,6.64,55.25,spinach
148,53,203,21.48,65.12,6.17,51.2,spinach
141,51,179,18.87,50.0,7.12,57.94,spinach
151,65,172,31.41,70.78,6.19,102.18,chilli
137,45,229,30.22,59.45,5.91,81.39,chilli
152,62,236,28.57,63.87,5.69,89.69,ladyfinger
93,51,203,20.64,63.25,6.47,78.38,spinach
132,80,214,26.61,71.9,6.3,85.59,ladyfinger
141,85,193,34.15,69.19,7.16,117.5,ladyfinger
182,75,255,35.35,69.26,5.65,108.41,ladyfinger
177,72,209,24.76,45.0,6.16,105.04,tomato
83,51,205,23.35,60.92,6.51,40.0,spinach
143,89,204,29.05,50.67,5.97,78.34,chilli
158,70,188,18.64,66.13,5.97,86.46,spinach
155,59,186,33.02,71.19,5.79,119.97,ladyfinger
123,78,213,28.69,54.74,6.02,107.9,chilli
163,79,218,20.51,61.6,6.44,126.55,tomato
142,59,227,30.56,58.11,5.59,57.98,chilli
159,88,231,35.54,59.32,6.42,83.53,chilli
146,58,181,26.65,65.93,6.85,81.35,spinach
110,54,189,26.36,67.61,6.59,92.44,spinach
166,48,208,29.56,64.69,5.85,114.48,ladyfinger
119,53,177,20.27,71.04,6.65,60.45,spinach
115,65,230,18.32,69.78,6.71,74.05,spinach
116,80,262,31.18,46.3,5.95,67.63,chilli
151,50,175,28.88,78.9,6.24,106.27,ladyfinger
169,76,206,24.07,51.04,5.88,83.74,chilli
146,56,220,27.9,63.72,7.18,126.18,ladyfinger
188,93,250,29.86,73.11,6.35,127.79,tomato
138,50,188,22.8,61.51,6.48,121.99,spinach
120,62,192,22.97,63.96,6.53,91.9,spinach
158,81,215,31.21,55.0,7.09,86.45,ladyfinger
172,51,270,36.29,64.22,6.48,124.13,ladyfinger
160,70,215,22.22,63.3,6.21,81.55,spinach
187,62,282,29.72,54.36,5.58,116.38,tomato
119,43,184,22.14,58.12,6.38,100.13,spinach
172,77,231,34.93,55.0,5.98,113.61,ladyfinger
182,81,243,31.11,46.06,5.98,109.41,chilli
179,90,283,25.76,45.0,6.19,127.34,tomato
169,50,268,24.0,76.67,6.77,100.49,ladyfinger
163,61,196,28.48,56.92,6.59,50.0,chilli
147,84,187,31.61,41.63,5.66,65.75,chilli
215,75,290,27.42,71.77,6.19,137.68,tomato
131,66,224,23.95,62.48,6.73,64.54,spinach
143,87,174,23.79,55.72,5.82,90.15,chilli
148,62,203,30.53,60.95,6.35,86.39,ladyfinger
158,77,248,25.74,69.02,5.0,74.62,chilli
180,72,310,33.5,53.06,6.42,138.73,tomato
158,72,199,31.82,48.96,5.96,118.94,chilli
188,77,225,25.84,75.0,6.2,139.55,tomato
141,73,229,30.84,63.49,6.09,117.04,ladyfinger
170,70,230,37.49,73.95,6.01,115.46,ladyfinger
158,67,226,31.48,57.32,6.54,124.25,ladyfinger
157,63,213,34.82,70.61,6.33,93.56,ladyfinger
131,53,195,25.3,71.6,6.74,106.11,spinach
149,60,237,30.31,58.62,6.49,133.61,ladyfinger
86,54,175,18.69,66.44,6.92,98.37,spinach
136,55,193,22.07,69.38,6.15,102.29,spinach
160,93,257,27.97,67.03,6.39,156.16,tomato
193,50,245,28.43,66.8,6.48,134.56,tomato
174,70,256,25.93,57.57,6.8,76.88,ladyfinger
179,96,256,28.63,51.27,6.29,145.89,tomato
163,73,213,30.62,72.79,6.54,121.17,ladyfinger
187,77,241,30.57,64.43,6.1,147.05,tomato
155,55,206,24.08,54.85,7.01,84.05,spinach
169,82,239,21.98,56.89,6.08,135.84,tomato
189,56,261,37.43,79.72,6.44,102.7,ladyfinger
176,88,275,31.65,68.46,6.55,112.12,tomato
118,41,177,18.99,66.66,6.52,65.57,spinach
186,52,255,29.15,70.85,6.68,95.49,ladyfinger
115,55,164,21.1,64.6,7.29,57.76,spinach
118,64,193,22.8,67.57,6.3,99.84,spinach
153,65,223,30.45,50.37,5.64,81.03,chilli
166,51,293,30.59,75.25,6.71,106.93,ladyfinger
139,90,197,26.96,40.92,5.82,79.93,chilli
128,46,178,25.38,55.48,6.99,61.99,spinach
142,81,236,33.7,82.11,5.5,138.14,ladyfinger
165,55,247,28.1,61.28,6.74,114.09,tomato
140,62,255,25.32,64.11,6.21,70.79,tomato
180,48,216,31.64,80.92,6.38,119.9,ladyfinger
102,47,198,19.85,70.46,6.95,68.4,spinach
144,73,196,33.88,84.25,6.63,124.03,ladyfinger
119,59,201,33.24,61.1,6.57,105.9,ladyfinger
182,87,320,25.02,51.04,5.9,120.8,tomato
117,55,196,24.89,80.0,6.33,52.6,spinach
86,45,193,19.11,69.05,6.28,123.3,spinach
161,57,216,28.99,57.05,5.55,115.04,chilli
201,59,215,34.35,75.67,6.71,151.56,ladyfinger
90,70,245,20.16,61.9,6.59,86.69,spinach
130,50,235,31.29,47.47,5.5,134.28,tomato
135,48,233,31.3,66.66,6.37,85.74,ladyfinger
150,61,233,32.16,71.02,6.62,106.2,ladyfinger
160,70,228,30.64,63.99,6.27,93.86,chilli
171,94,229,29.44,63.26,6.58,80.4,chilli
92,60,237,28.81,61.76,6.65,91.4,spinach
108,49,172,23.32,71.23,6.64,113.49,spinach
193,89,213,23.49,54.03,5.94,138.84,tomato
90,57,200,23.74,65.96,6.21,103.93,spinach
197,98,305,30.53,69.3,5.97,91.09,tomato
101,43,228,23.02,57.5,6.56,59.48,spinach
128,60,208,33.35,60.55,6.37,128.44,ladyfinger
95,59,222,20.74,50.0,6.56,88.73,spinach
155,41,215,29.38,44.08,5.63,106.19,chilli
136,38,233,17.01,73.26,6.84,58.18,spinach
171,68,236,34.79,64.71,6.17,109.74,ladyfinger
159,56,234,24.99,73.43,6.35,102.6,ladyfinger
108,52,150,17.45,75.93,6.99,75.02,spinach
164,60,255,32.71,70.45,7.02,124.57,ladyfinger
186,76,216,33.03,59.78,6.76,108.37,ladyfinger
137,73,225,34.75,79.68,6.14,127.45,ladyfinger
97,38,155,17.93,59.33,7.09,69.48,spinach
185,84,262,35.81,67.24,6.15,92.87,ladyfinger
125,67,230,37.03,77.42,6.15,118.2,ladyfinger
187,54,227,34.7,59.79,6.07,70.63,chilli
176,68,170,31.29,65.2,6.37,76.75,chilli
164,95,254,26.57,49.56,5.84,78.97,tomato
101,72,223,21.29,74.08,6.17,63.51,spinach
141,86,229,28.99,67.13,5.88,141.55,ladyfinger
133,73,248,26.49,53.8,5.31,82.14,chilli
130,81,268,29.13,61.34,6.66,106.51,tomato
199,86,258,26.98,62.96,6.15,131.45,tomato
159,61,265,34.63,59.83,6.54,91.3,chilli
169,58,244,31.62,47.78,5.78,123.16,tomato
186,90,195,26.23,68.04,5.79,111.02,ladyfinger
168,82,229,30.78,74.27,5.69,104.79,ladyfinger
142,68,199,29.75,75.31,7.44,120.51,ladyfinger
132,42,219,18.99,58.98,6.06,69.97,spinach
168,118,249,23.79,58.93,6.41,161.83,tomato
171,60,229,29.56,62.57,6.27,95.12,tomato
130,85,265,34.19,61.26,6.53,115.11,tomato
180,65,260,32.68,53.76,5.27,89.61,chilli
148,42,226,26.04,63.03,5.79,118.45,ladyfinger
148,54,200,24.12,66.87,6.79,85.74,spinach
175,50,255,32.29,48.21,5.97,128.23,tomato
202,85,275,27.51,69.62,6.2,121.45,tomato
128,55,177,22.97,55.57,6.86,70.71,spinach
175,71,242,29.74,71.3,5.95,122.47,tomato
209,88,190,26.41,55.51,6.39,60.0,tomato
140,50,216,21.43,67.59,6.16,81.7,spinach
137,51,194,32.98,57.04,5.95,79.82,chilli
162,78,209,28.01,59.67,5.93,123.1,ladyfinger
131,30,200,22.98,72.39,6.2,81.71,spinach
142,45,249,27.67,48.16,5.84,95.44,chilli
128,71,178,32.49,61.97,6.13,67.58,chilli
174,52,236,24.88,55.14,6.15,143.94,tomato
193,72,224,27.97,61.1,7.0,115.4,tomato
110,61,233,29.35,71.14,6.6,124.76,ladyfinger
173,67,258,27.35,50.58,6.79,104.44,tomato
116,46,165,24.78,80.0,6.08,91.26,spinach
164,62,216,32.06,49.87,5.77,101.83,chilli
138,52,178,15.54,59.25,6.44,60.26,spinach
114,58,179,23.56,77.26,6.47,88.03,spinach
146,71,201,19.74,68.68,6.3,120.27,spinach
171,90,260,31.73,70.03,6.19,89.1,ladyfinger
215,93,276,25.1,59.36,6.08,94.86,tomato
120,62,173,20.84,70.56,6.75,74.12,spinach
145,72,186,35.54,64.52,5.92,81.91,chilli
208,81,228,30.97,58.26,6.41,108.06,tomato
140,81,230,27.56,45.68,5.42,93.76,chilli
188,64,225,30.96,76.87,6.55,116.41,ladyfinger
100,65,262,28.57,51.08,5.89,67.58,chilli
130,67,196,28.84,63.12,6.04,140.0,chilli
159,52,240,28.33,55.1,5.96,64.57,chilli
133,78,225,22.44,58.43,6.16,90.4,chilli
135,58,159,19.12,64.02,6.53,57.4,spinach
142,69,220,29.91,69.4,6.54,78.4,ladyfinger
127,69,212,24.77,49.48,5.93,87.7,chilli
174,80,282,31.82,59.11,6.04,118.6,tomato
170,57,193,29.21,63.99,6.61,135.35,ladyfinger
161,77,201,36.9,77.21,6.37,106.73,ladyfinger
144,77,197,30.43,57.51,5.41,102.17,chilli
167,69,216,27.88,48.2,6.58,121.38,tomato
105,42,189,22.54,69.76,6.33,71.74,spinach
149,70,227,28.73,85.0,6.21,61.21,ladyfinger
114,47,243,19.43,60.56,6.56,55.96,spinach
139,40,150,24.8,54.06,6.43,56.6,spinach
152,75,225,31.37,58.47,5.29,102.74,chilli
155,68,237,23.9,52.21,6.48,87.32,tomato
134,81,250,27.03,51.07,5.79,140.0,chilli
151,50,226,30.87,64.14,6.11,119.44,tomato
191,73,239,28.86,50.69,6.06,98.51,tomato
165,88,226,29.23,41.36,5.97,106.47,chilli
182,69,302,31.12,54.08,5.67,110.36,tomato
133,70,232,32.3,56.15,6.13,91.7,chilli
138,53,201,22.63,50.0,6.43,66.36,spinach
183,67,253,30.53,46.8,6.74,109.81,chilli
86,49,175,22.94,57.74,6.08,109.31,spinach
174,65,212,26.01,49.06,6.21,90.15,chilli
144,63,223,35.62,66.2,6.08,152.74,ladyfinger
176,82,236,33.88,64.55,6.52,139.25,ladyfinger
130,66,236,20.92,54.39,6.38,85.21,spinach
152,60,233,31.01,58.75,6.18,107.85,ladyfinger
111,51,219,31.99,68.84,6.35,118.98,ladyfinger
144,57,226,25.32,60.49,6.26,81.56,spinach
107,69,194,22.87,67.08,6.46,96.22,spinach
124,58,242,25.21,66.53,6.78,59.35,spinach
185,66,302,26.09,59.67,6.42,105.22,tomato
184,52,250,32.03,41.27,7.0,88.73,chilli
153,48,245,24.33,69.42,6.57,75.03,spinach
152,61,193,24.09,62.33,6.85,87.39,spinach
98,33,210,29.48,64.95,6.75,81.64,spinach
168,82,285,26.17,51.94,6.3,75.17,tomato
117,45,228,21.64,50.0,6.75,69.29,spinach
184,50,260,26.96,59.4,6.05,140.18,tomato
125,53,181,25.15,78.24,6.35,67.76,spinach
168,66,245,29.47,59.93,6.32,165.34,tomato
132,73,302,25.7,55.17,6.02,89.63,tomato
142,61,238,25.39,59.52,6.27,72.41,chilli
181,63,213,31.66,67.28,7.18,83.04,ladyfinger
124,54,211,15.0,70.46,6.54,75.55,spinach
148,90,270,29.15,52.04,6.3,90.42,tomato
135,51,172,20.65,75.06,6.34,87.17,spinach
160,61,213,16.6,60.66,6.26,67.58,spinach
181,83,231,35.72,47.18,6.76,70.7,chilli
162,53,186,31.37,67.43,6.24,114.9,ladyfinger
180,83,185,30.67,60.89,6.25,77.42,chilli
80,62,184,16.51,69.09,6.91,77.25,spinach
80,63,205,23.52,80.0,5.87,114.49,spinach
134,71,235,33.61,43.09,5.9,98.93,chilli
158,78,226,32.99,59.6,5.88,80.74,chilli
148,96,265,25.8,58.87,6.84,138.34,tomato
140,54,192,22.46,58.32,7.13,47.85,spinach
158,75,271,35.0,58.18,5.64,130.06,tomato
95,61,216,19.91,69.66,6.58,69.22,spinach
157,39,241,33.05,71.07,5.5,82.16,ladyfinger
122,68,179,23.63,66.6,6.58,105.45,spinach
124,71,244,28.85,62.62,6.39,117.69,ladyfinger
164,89,265,31.21,50.4,5.5,141.45,tomato
210,68,283,26.36,49.31,6.49,152.27,tomato
202,56,223,22.58,57.8,6.18,122.85,tomato
141,75,197,26.37,64.94,6.29,91.32,chilli
106,53,229,22.58,60.75,6.65,57.95,spinach
153,60,241,32.11,64.22,5.53,88.16,ladyfinger
183,78,236,25.52,54.5,5.66,118.1,tomato
145,64,233,32.24,85.0,6.55,65.21,ladyfinger
211,86,221,27.07,55.09,5.92,144.47,tomato
190,69,242,23.79,59.13,6.64,137.13,tomato
150,61,213,30.01,44.0,5.81,97.75,chilli
154,80,232,29.42,75.43,6.28,123.65,ladyfinger
139,66,231,37.02,73.98,5.66,82.17,ladyfinger
161,54,264,27.68,53.21,6.13,78.69,chilli
144,56,258,23.18,66.54,6.41,82.67,spinach
161,54,175,36.05,75.76,6.61,96.64,ladyfinger
173,56,230,29.96,52.33,6.35,107.58,chilli
122,42,185,22.96,52.26,6.63,79.61,spinach
104,66,200,21.97,62.38,6.55,96.5,spinach
192,62,255,30.01,72.22,6.56,139.02,tomato
172,70,212,31.7,57.18,6.41,115.83,chilli
170,65,231,33.45,66.69,6.06,123.42,ladyfinger
116,66,204,32.51,60.86,5.93,145.31,ladyfinger
141,87,275,26.2,69.33,5.53,82.63,tomato
118,59,161,18.62,55.45,6.54,114.65,spinach
173,60,229,35.81,80.36,6.29,96.12,ladyfinger
131,58,237,28.67,48.17,5.74,103.98,chilli
